GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sainsbury-serverside-test,sainsbury.serversidetest.crawler,ProductPage,0,55,0,0,0,11,0,2,0,2
sainsbury-serverside-test,sainsbury.serversidetest.crawler,CrawlerUtil,0,7,0,0,0,2,0,2,0,2
sainsbury-serverside-test,sainsbury.serversidetest.crawler,ParsingException,0,9,0,0,0,4,0,2,0,2
sainsbury-serverside-test,sainsbury.serversidetest.crawler,ProductsPage,0,144,2,10,0,33,2,13,0,9
sainsbury-serverside-test,sainsbury.serversidetest.crawler.sainsbury,SainsburyProductsPage,0,19,0,0,0,4,0,3,0,3
sainsbury-serverside-test,sainsbury.serversidetest.crawler.sainsbury,SainsburyProductPage,0,51,1,3,0,10,1,6,0,5
sainsbury-serverside-test,sainsbury.serversidetest.products.service,ProductsService,9,96,0,0,3,24,0,4,0,4
sainsbury-serverside-test,sainsbury.serversidetest.entities,Products,0,17,0,0,0,7,0,5,0,5
sainsbury-serverside-test,sainsbury.serversidetest.entities,Product,0,31,0,0,0,13,0,9,0,9
sainsbury-serverside-test,sainsbury.serversidetest.entities,Total,0,17,0,0,0,7,0,5,0,5
sainsbury-serverside-test,sainsbury.serversidetest.invoice.service,InvoiceService,0,17,0,0,0,4,0,3,0,3
sainsbury-serverside-test,sainsbury.serversidetest,ServersideTestApplication,5,3,0,0,2,1,1,1,1,1
sainsbury-serverside-test,sainsbury.serversidetest.cmd,DisplayProductsCommand,0,9,0,0,0,3,0,2,0,2
sainsbury-serverside-test,sainsbury.serversidetest.errors,ErrorMessage,0,17,0,0,0,7,0,5,0,5
sainsbury-serverside-test,sainsbury.serversidetest.errors,ErrorMessagesFactory,0,83,0,0,0,15,0,5,0,5
